listing_id,listing_name,listing_type,room_type,guests,bedrooms,beds,baths,has_tv,has_air_con,has_kitchen,has_wifi,has_pool,min_nights,cancellation_policy,num_reviews,rating_overall,rating_checkin,rating_cleanliness,rating_communication,rating_location,ttm_revenue,ttm_avg_rate,ttm_occupancy,ttm_revpar,ttm_reserved_days,ttm_available_days,l90d_revenue,l90d_avg_rate,l90d_occupancy,l90d_revpar,l90d_reserved_days,l90d_available_days
21953729,Studio Unit in San Remo Oasis SRP for rent,Others,Entire home,2,,,1,Yes,Yes,Yes,No,Yes,1,Strict,7,4.71,5,4.7,4.7,3.7,23856,2032.7,3.30E-02,65.4,12,353,0,0,0,0,0,90
21986810,Condo unit at Kasambagan Cebu City with Kitchen,Condominium,Entire home,4,1,1,1,Yes,Yes,Yes,No,No,2,Flexible,19,4.42,4.7,4.4,4.6,3.8,64061,752.7,0.298,221.7,86,279,5688,730.6,0.143,101.6,8,82
21988311,"HavenofPeace, 42nd Flr@Horizons, Cebu. HiSpeedWifi",Condominium,Entire home,2,1,1,1,Yes,Yes,Yes,Yes,Yes,3,Strict,198,4.8,4.8,4.7,4.9,4.9,303104,1274.4,0.783,980.9,242,123,86599,1120.9,0.906,1018.8,77,13
22067093,1BR Condo with Mall Access | Uptown Cebu,Others,Entire home,3,1,2,1,Yes,Yes,Yes,Yes,Yes,90,Very Strict,44,4.8,4.9,4.8,5,4.7,139377,1992.6,0.264,510.5,72,293,3625,1767.4,0.4,725,2,88
22110583,1-BR (45sqm) near Ayala Center Cebu,Condominium,Entire home,3,1,1,1,Yes,Yes,Yes,Yes,Yes,2,Flexible,77,4.79,4.8,4.8,4.8,4.5,233184,2388.2,0.279,677.9,96,269,53038,2201.6,0.348,768.7,24,66
22169840,UNIT 610 BLOQ Studio in Cebu+ Wifi + Chromecast TV,Condominium,Entire home,3,,1,1.5,Yes,Yes,Yes,Yes,No,2,Very Strict,91,4.87,5,4.9,4.9,4.7,152339,1119.7,0.368,424.3,132,233,3235,1040.5,3.30E-02,35.9,3,87
22272297,Ayala Mall 10mins walk Cebu City Apartment & Pool,Condominium,Entire home,4,2,2,2,Yes,Yes,Yes,Yes,Yes,1,Flexible,173,4.86,4.9,4.8,4.9,4.7,1054509,4130,0.699,2889.1,255,110,167872,3387.2,0.556,1865.2,50,40
22293033,"Horizons 101, 34 Cview",Others,Entire home,2,,1,1,Yes,Yes,Yes,Yes,Yes,30,Very Strict,17,4.82,4.9,4.8,4.9,4.9,55282,1423.3,0.106,158.4,37,328,16398,1268.4,0.144,182.2,13,77
22346408,Fully Furnished Studio Condo Unit@ Mivesa Garden,Private room,Private room,,,1,0,Yes,Yes,Yes,Yes,Yes,3,Very Strict,21,4.9,4.9,4.8,5,4.7,366211,1735.3,0.765,1322.1,212,153,144838,1609.3,1,1609.3,90,0
22460398,Cebu IT Park studio - Olive,Others,Entire home,2,,1,1,Yes,Yes,Yes,Yes,Yes,3,Very Strict,67,4.85,5,4.9,5,5,186805,1632.1,0.31,511.8,113,252,29392,1494.7,0.222,326.6,20,70
22493391,Seaview Ultima Loft Fountain Cebu,Others,Entire home,8,1,2,1.5,Yes,Yes,Yes,Yes,Yes,1,Very Strict,11,5,5,4.8,4.9,4.9,91396,5941.6,0.129,904.9,13,352,0,7916.9,0,0,0,90
